#########################################################
###Script version 1.0 / Baseline version 1.0###
!!Restricted - disclose with authorization!!
Date,'25-06-2025
Time,'10:29
Computer Name,vm-golden-image-pci
IP Adress,10.84.110.24/28
Operating System Name,Ubuntu 24.04.2 LTS_Linux 6.11.0-1015-azure
System Name,vm-golden-image-pci
Node Name,vm-golden-image-pci
Audit by,Taweesak_Pahumunto,Warawan
Location,Azure Cloud
Result, ID, Name, Operation, Expect Value, Current Value
PASS, 5_1_6, Ensure events that modify the system's Mandatory Access Controls are collected, =, Edit or create a file in the /etc/audit/rules.d/ directory ending in .rules and add the following lines:-w /etc/apparmor/ -p wa -k MAC-policy -w /etc/apparmor.d/ -p wa -k MAC-policy, The events that modify the system's Mandatory Access Controls are already collected
PASS, 5_1_7, Collect Login and Logout Events, =, Collect Login and Logout Events, Ensure login and logout events are collected
PASS, 5_1_8, Collect Session Initiation Information, =, Collect Session Initiation Information, Ensure session initiation information is collected
PASS, 5_1_9, Collect Discretionary Access Control Permission Modification Events, =, Collect Discretionary Access Control Permission Modification Events, Ensure discretionary access control permission modification events are collected
PASS, 5_1_10, Collect Unsuccessful Unauthorized Access Attempts to Files, =, Collect Unsuccessful Unauthorized Access Attempts to Files, Ensure discretionary access control permission modification events are collected
PASS, 5_1_11, Collect Successful File System Mounts, =, Collect Successful File System Mounts, Ensure successful file system mounts are collected
PASS, 5_1_12, Collect File Deletion Events by User, =, Collect File Deletion Events by User, Ensure file deletion events by users are collected
PASS, 5_1_13, Collect Changes to System Administration Scope, =, Collect Changes to System Administration Scope, The changes to system administration scope (sudoers) is already collected
PASS, 5_1_14, Collect System Administrator Actions (sudolog), =, Collect System Administrator Actions (sudolog), The changes to system administration scope (sudoers) is already collected
PASS, 5_1_15, Collect Kernel Module Loading and Unloading, =, Collect Kernel Module Loading and Unloading, The Kernel Module Loading and Unloading are already collected
PASS, 5_1_16, Make the Audit Configuration Immutable, =, Make the Audit Configuration Immutable, The audit configuration is already immutable
PASS, 5_2_1, Install the rsyslog package, =, Install the rsyslog package, The rsyslog is already installed
PASS, 5_2_2, Activate the rsyslog Service, =, Activate the rsyslog Service, The rsyslog Service is already enabled
PASS, 5_2_3, Create and Set Permissions on rsyslog Log Files, =, Create and Set Permissions on rsyslog Log Files, The rsyslog default file permissions is already configured
PASS, 5_2_4, Configure rsyslog to Send Logs to a Remote Log Host, =, Configure rsyslog to Send Logs to a Remote Log Host, The rsyslog is already configured to send logs to a remote log host
PASS, 6_1_2, Set User/Group Owner and Permission on /etc/crontab, =, Set User/Group Owner and Permission on /etc/crontab, The permissions on /etc/crontab are already configured
PASS, 6_1_3, User/Group Owner and Permission on /etc/cron.daily, =, User/Group Owner and Permission on /etc/cron.daily, The permissions on /etc/cron.daily are already configured
PASS, 6_1_4, Set User/Group Owner and Permission on /etc/cron.weekly, =, Set User/Group Owner and Permission on /etc/cron.weekly, The permissions on /etc/cron.weekly are already configured
PASS, 6_1_5, Set User/Group Owner and Permission on /etc/cron.monthly, =, Set User/Group Owner and Permission on /etc/cron.monthly, The permissions on /etc/cron.monthly are already configured
PASS, 6_1_6, Set User/Group Owner and Permission on /etc/cron.d, =, Set User/Group Owner and Permission on /etc/cron.d, The permissions on /etc/cron.d are already configured
PASS, 6_1_7, Restrict at/cron to Authorized Users, =, Restrict at/cron to Authorized Users, The permissions at/cron to Authorized Users are already configured
PASS, 6_2_1, Set Password Creation Requirement Parameters, =, Set Password Creation Requirement Parameters, The pam_pwquality module is already used
PASS, 6_2_2, Set Lockout for Failed Password Attempts, =, Set Lockout for Failed Password Attempts, The lockout for failed password attempts is already configured
PASS, 6_2_3, Limit Password Reuse, =, Limit Password Reuse, The password reuse is alraedy limited
PASS, 6_3_1, Set SSH Protocol to 2, =, Set SSH Protocol to 2, Set SSH Protocol to 2 is already
PASS, 6_3_2, Set LogLevel to INFO, =, Set LogLevel to INFO, The SSH LogLevel is already appropriated
PASS, 6_3_3, Set Permissions on /etc/ssh/sshd_config, =, Set Permissions on /etc/ssh/sshd_config, The permissions on /etc/ssh/sshd_config are already configured
PASS, 6_3_4, Disable SSH X11 Forwarding, =, Disable SSH X11 Forwarding, The SSH X11 forwarding is already disabled
PASS, 6_3_5, Set SSH MaxAuthTries to 5 or Less, =, Set SSH MaxAuthTries to 5 or Less, The SSH MaxAuthTries is already set to 5 or less
PASS, 6_3_6, Set SSH IgnoreRhosts to Yes, =, Set SSH IgnoreRhosts to Yes, The SSH IgnoreRhosts is already enabled
PASS, 6_3_7, Set SSH HostbasedAuthentication to No, =, Set SSH HostbasedAuthentication to No, The SSH HostbasedAuthentication is already disabled
PASS, 6_3_8, Disable SSH Root Login, =, Disable SSH Root Login, The SSH root login is already disabled
PASS, 6_3_9, Set SSH PermitEmptyPasswords to No, =, Set SSH PermitEmptyPasswords to No, The SSH PermitEmptyPasswords is already disabled
PASS, 6_3_10, Do Not Allow Users to Set Environment Options, =, Do Not Allow Users to Set Environment Options, The SSH PermitUserEnvironment is already disabled
PASS, 6_3_11, Use Only Approved Cipher in Counter Mode, =, Use Only Approved Cipher in Counter Mode, The only strong Ciphers are already used
PASS, 6_3_12, Set Idle Timeout Interval for User Login, =, Set Idle Timeout Interval for User Login, The SSH Idle Timeout Interval is already configured
PASS, 6_3_13, Set SSH Banner, =, Set SSH Banner, The SSH warning banner is already configured
PASS, 7_1_1, Set Password Expiration Days, =, Set Password Expiration Days, The password expiration is already set to 90 days or less
PASS, 7_1_2, Set Password Change Minimum Number of Days, =, Set Password Change Minimum Number of Days, The minimum days between password changes is already configured
PASS, 7_1_3, Set Password Expiring Warning Days, =, Set Password Expiring Warning Days, The password expiration warning days is already 7 or more
PASS, 7_2, Disable System Accounts, =, Disable System Accounts, The rsh client is not installed
PASS, 7_3, Set Default Group for root Account, =, Set Default Group for root Account, The default group for the root account is GID 0
PASS, 7_4, Set Default umask for Users, =, Set Default umask for Users, The default group for the root account is GID 0
PASS, 8_1_1, Set Warning Banner for Standard Login Services, =, Set Warning Banner for Standard Login Services, The permissions on /etc/motd are configured
PASS, 8_1_2, Remove OS Information from Login Warning Banners, =, Remove OS Information from Login Warning Banners, Already Remove OS Information from Login Warning Banners
PASS, 9_1_1, Verify Permissions on /etc/passwd, =, Verify Permissions on /etc/passwd, The permissions on /etc/passwd are configured
PASS, 9_1_2, Verify Permissions on /etc/shadow, =, Verify Permissions on /etc/shadow, The permissions on /etc/shadow are configured
PASS, 9_1_3, Verify Permissions on /etc/group, =, Verify Permissions on /etc/group, The permissions on /etc/group are configured
PASS, 9_1_4, Verify User/Group Ownership on /etc/passwd, =, Verify User/Group Ownership on /etc/passwd, The Ownership on /etc/passwd are configured
PASS, 9_1_5, Verify User/Group Ownership on /etc/shadow, =, Verify User/Group Ownership on /etc/shadow, The Ownership on /etc/shadow are configured
PASS, 9_1_6, Verify User/Group Ownership on /etc/group, =, Verify User/Group Ownership on /etc/group, The Ownership on /etc/group are configured
PASS, 9_1_7, Find World Writable Files, =, Find World Writable Files, Find World already Writable Files
PASS, 9_1_8, Find Un-owned Files and Directories, =, Find Un-owned Files and Directories, Find already Un-owned Files and Directories
PASS, 9_1_9, Find Un-grouped Files and Directories, =, Find Un-grouped Files and Directories, Find already Un-grouped Files and Directories
MANUAL, 9_1_10, Find SUID System Executable, =, Find SUID System Executable, requires manual remediation
MANUAL, 9_1_11, Find SGID System Executable, =, Find SGID System Executable, requires manual remediation
PASS, 10_1_1, Ensure Password Fields are Not Empty, =, Ensure Password Fields are Not Empty, The password fields are not empty
PASS, 10_1_2, Verify No Legacy + Entries Exist in /etc/passwd File, =, Verify No Legacy + Entries Exist in /etc/passwd File, The default group for the root account is GID 0
PASS, 10_1_3, Verify No Legacy + Entries Exist in /etc/shadow File, =, Verify No Legacy + Entries Exist in /etc/shadow File, The default group for the root account is GID 0
PASS, 10_1_4, Verify No Legacy + EntriesExist in /etc/group File, =, Verify No Legacy + EntriesExist in /etc/group File, The Verify is not Legacy + EntriesExist in /etc/group File
PASS, 10_1_5, Verify No UID 0 Accounts Exist Other Than root, =, Verify No UID 0 Accounts Exist Other Than root, Already Verify No UID 0 Accounts Exist Other Than root
MANUAL, 10_1_6, Ensure root PATH Integrity, =, Ensure root PATH Integrity, requires manual remediation
PASS, 10_1_7, Check Permissions on User Home Directories, =, Check Permissions on User Home Directories, The users are already own their home directories
PASS, 10_1_8, Check User Dot File Permissions, =, Check User Dot File Permissions, Users dot files are not group or world writable
PASS, 10_1_9, Check for Presence of User .rhosts Files, =, Check for Presence of User .rhosts Files, No users have .rhosts files
PASS, 10_1_10, Check Groups in /etc/passwd, =, Check Groups in /etc/passwd, The all groups in /etc/passwd is already existed in /etc/group
PASS, 10_1_11, Check That Users Are Assigned Valid Home Directories, =, Check That Users Are Assigned Valid Home Directories, The users are already own their home directories
PASS, 10_1_12, Check User Home Directory Ownership, =, Check User Home Directory Ownership, The users are already own their home directoriesThe users are already own their home directories
PASS, 10_1_13, Check for Duplicate UIDS, =, Check for Duplicate UIDS, No duplicate UIDs existNo duplicate UIDs exist
PASS, 10_1_14, Check for Duplicate GIDs, =, Check for Duplicate GIDs, No duplicate GIDs existdNo duplicate GIDs existd
PASS, 10_1_15, Check for Duplicate User Names, =, Check for Duplicate User Names, No duplicate user names existNo duplicate user names exist
PASS, 10_1_16, Check for Duplicate Group Names, =, Check for Duplicate Group Names, No duplicate group names existNo duplicate group names exist
PASS, 10_1_17, Check for Presence of User .netrc Files, =, Check for Presence of User .netrc Files, No users have .netrc filesNo users have .netrc files
MANUAL, 10_1_18, Ensure shadow group is empty, =, Ensure shadow group is empty, The shadow group is not emptyThe shadow group is not empty
